1,2,3,4,5,6,Match,rScore,bScore,iElo1,iElo2,iElo3,iElo4,iElo5,iElo6,rElo,bElo,rOdds,bOdds,fElo1,fElo2,fElo3,fElo4,fElo5,fElo6,status1,status2,status3,status4,status5,status6
Ranked Bot,Brennan4476,MEE6,Future Ranked Bot,xRC Sim Staff,Carl,3726,50,100,1267.4952839411646,1426.1983029814369,1267.4952839411646,1132.5047160588354,1132.5047160588354,1132.5047160588354,1320.396290287922,1132.5047160588354,0.8442222786198604,0.15577772138013957,1107.1078043972414,1409.4982212852533,1107.1078043972414,1292.8921956027586,1292.8921956027586,1292.8921956027586,Ranked Bot_L,Brennan4476_L,MEE6_L,Future Ranked Bot_W,xRC Sim Staff_W,Carl_W
Ranked Bot,Brennan4476,MEE6,Future Ranked Bot,xRC Sim Staff,Carl,3725,100,50,1200.0,1419.4487745845306,1200.0,1200.0,1200.0,1200.0,1273.1495915281769,1200.0,0.6587979420457436,0.3412020579542564,1267.4952839411646,1426.1983029814369,1267.4952839411646,1132.5047160588354,1132.5047160588354,1132.5047160588354,Ranked Bot_W,Brennan4476_W,MEE6_W,Future Ranked Bot_L,xRC Sim Staff_L,Carl_L
TayLew9,Jack155,Dak346,gerog,CedarPlatypus48|346|they/them,Josh3128,3724,254,181,1513.1594026760454,1055.231767536918,1255.9271671761085,1467.0789648056275,790.0840864281392,1348.7932232038631,1274.772779129691,1201.9854248125432,0.6580651900132892,0.3419348099867108,1520.0458451402983,1068.363804056134,1262.813609640361,1460.1925223131288,737.96619950254,1341.906780739611,TayLew9_W,Jack155_W,Dak346_W,gerog_L,CedarPlatypus48|346|they/them_L,Josh3128_L
TayLew9,Jack155,Dak346,gerog,CedarPlatypus48|346|they/them,Josh3128,3723,217,206,1505.5009657473252,1040.307899404749,1248.268730247389,1474.7374017672053,850.3597676213002,1356.451660132583,1264.692531799821,1227.182943173696,0.5835537063797391,0.4164462936202608,1513.1594026760454,1055.231767536918,1255.9271671761085,1467.0789648056275,790.0840864281392,1348.7932232038631,TayLew9_W,Jack155_W,Dak346_W,gerog_L,CedarPlatypus48|346|they/them_L,Josh3128_L
TayLew9,Dak346,CedarPlatypus48|346|they/them,Darre2655,Jack155,Josh3128,3722,183,219,1512.5528851132983,1255.3206496133616,908.0918171656116,1489.1211184588424,1026.2580270988233,1349.3997407666102,1225.3217839640906,1288.2596287747583,0.3621388910141654,0.6378611089858346,1505.5009657473252,1248.268730247389,850.3597676213002,1496.1730378248149,1040.307899404749,1356.451660132583,TayLew9_L,Dak346_L,CedarPlatypus48|346|they/them_L,Darre2655_W,Jack155_W,Josh3128_W
TayLew9,Dak346,CedarPlatypus48|346|they/them,Darre2655,Jack155,Josh3128,3721,195,223,1521.2847861645785,1264.052550664641,982.4656894936968,1480.3892174075631,1008.462230113094,1340.667839715331,1255.9343421076387,1276.506429078663,0.4538727632792617,0.5461272367207383,1512.5528851132983,1255.3206496133616,908.0918171656116,1489.1211184588424,1026.2580270988233,1349.3997407666102,TayLew9_L,Dak346_L,CedarPlatypus48|346|they/them_L,Darre2655_W,Jack155_W,Josh3128_W
Darre2655,Dak346,jbobeli,TayLew9,Jack155,CedarPlatypus48|346|they/them,3720,190,160,1468.9901613566374,1252.653494613715,804.6398450177653,1532.6838422155051,1032.2383439665375,1083.501087206078,1175.427833662706,1216.1410911293735,0.4094609329475798,0.5905390670524202,1480.3892174075631,1264.052550664641,836.3430175016435,1521.2847861645785,1008.462230113094,982.4656894936968,Darre2655_W,Dak346_W,jbobeli_W,TayLew9_L,Jack155_L,CedarPlatypus48|346|they/them_L
Darre2655,Dak346,jbobeli,TayLew9,Jack155,CedarPlatypus48|346|they/them,3719,210,168,1454.15395809421,1237.817291351288,762.160945231899,1547.5200454779338,1063.9250836124538,1220.3711744939924,1151.377398225799,1277.272101194793,0.2437264777180154,0.7562735222819845,1468.9901613566374,1252.653494613715,804.6398450177653,1532.6838422155051,1032.2383439665375,1083.501087206078,Darre2655_W,Dak346_W,jbobeli_W,TayLew9_L,Jack155_L,CedarPlatypus48|346|they/them_L
TayLew9,Dak346,CedarPlatypus48|346|they/them,JMaster | 346,Jack155,jbobeli,3718,181,154,1546.5232972452138,1236.820543118568,1210.7984107340703,1193.9653332265416,1066.106014933506,765.1003030643366,1331.3807503659507,1008.390550408128,0.9480992839111744,0.0519007160888256,1547.5200454779338,1237.817291351288,1220.3711744939924,1185.475540984486,1063.9250836124538,762.160945231899,TayLew9_W,Dak346_W,CedarPlatypus48|346|they/them_W,JMaster | 346_L,Jack155_L,jbobeli_L
TayLew9,Dak346,CedarPlatypus48|346|they/them,JMaster | 346,Jack155,jbobeli,3717,193,166,1545.4434561718067,1235.740702045161,1200.0,1203.5364917356694,1068.5278038845065,768.3815611779117,1327.0613860723226,1013.4819522660292,0.943772636727911,0.0562273632720889,1546.5232972452138,1236.820543118568,1210.7984107340703,1193.9653332265416,1066.106014933506,765.1003030643366,TayLew9_W,Dak346_W,CedarPlatypus48|346|they/them_W,JMaster | 346_L,Jack155_L,jbobeli_L
